,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,124,423,320,816,2416,1965,3351,2999,2751,2536,2799,2661,3407,4740,2334,1353,1096,1314,1724,1153,2166,2662,2195,2971,1477,2677,4841
Azerbaijan,346,381,757,2290,2950,4443,4401,4471,5123,5079,6674,5540,7581,7494,6527,6332,2764,3424,3111,3610,3676,5313,4520,4165,3970,10137,6966
Barbados,6,8,109,131,46,63,68,148,136,120,168,123,103,88,60,54,35,41,58,31,67,16,72,16,66,47,71
Belarus,272,882,899,1051,2722,4243,3665,2512,1898,2254,2356,4298,2411,2833,2278,2214,2003,1626,1207,2454,5422,1727,2576,1063,1619,6441,6638
Ecuador,568,521,854,596,494,727,918,856,1036,1813,2707,2527,2879,2758,1607,1745,644,1137,800,660,965,936,1208,965,994,422,1282
Georgia,523,736,1151,2654,5280,6683,7493,9100,10122,12516,8627,8951,11313,26021,10910,5443,3716,4734,5257,4724,3995,2907,6445,3552,3265,2234,5688
Germany,2110,3353,4083,4810,7658,8411,10544,9007,10183,10322,10597,10100,13238,9267,7490,5615,5033,5486,5760,7361,12819,12196,7922,10325,6983,6513,6730
Guinea,58,152,66,112,269,404,543,221,323,192,214,233,941,508,1026,1162,515,473,762,641,819,217,452,384,410,482,648
Japan,3703,5680,5715,10036,10139,19962,21228,23896,26307,23371,29651,28653,28358,26626,20546,20638,15842,13797,13194,14734,15364,16447,16969,12270,15709,8322,11011
Kazakhstan,226,396,503,1088,1887,3131,2435,4346,2820,3302,3937,4321,3505,3380,2960,3308,2462,2115,2230,2231,2289,2014,2387,1942,1385,890,2960
Kuwait,338,392,479,645,943,1078,1437,1260,2115,2184,1530,1523,1373,1176,920,519,937,973,800,1227,1902,429,997,541,391,353,466
Kyrgyzstan,194,189,184,257,2222,1795,1103,2670,2332,1739,5175,2749,4069,2050,2159,4984,1606,1790,2265,1108,904,858,1782,324,1500,985,1127
Lithuania,212,474,785,802,2054,2173,3082,3779,2673,2407,1954,1817,1898,1683,1364,1105,1225,1245,3141,2892,3709,3698,2389,4660,4290,3747,5270
Russian Federation,9451,18567,14006,23151,52734,63008,58005,59923,55535,55783,57160,49353,44106,52955,42071,30452,23832,29395,32066,38308,47831,43079,40424,40275,38632,23477,47873
Tajikistan,292,829,762,948,1522,2330,2882,2237,1777,1883,1739,1978,1757,2414,1741,1915,1908,1632,1245,1683,1688,489,1499,612,490,198,2039
Tanzania,408,545,460,852,1562,1987,2882,1557,1601,1681,1994,1384,1105,1623,1271,1211,1508,1965,2598,1946,2909,2345,1544,964,1063,1195,1531
Tunisia,405,401,278,480,571,621,1014,677,888,1272,783,588,665,991,805,747,4304,3475,4041,3764,4744,1700,1527,1368,1403,977,2765
Turkey,2852,5442,4942,11624,16903,16000,16960,16896,20234,22589,21666,22298,19705,16778,14942,15015,9964,12746,13080,12710,19751,23411,14549,13562,12213,7418,8594
Turkmenistan,195,241,182,292,675,898,711,1150,623,388,618,555,1734,1316,1114,865,840,1077,823,741,875,467,703,433,553,229,695
Ukraine,988,1496,1908,2181,5271,6097,8656,6863,6036,10441,9349,8889,8196,7927,4513,4663,2825,3665,6396,29757,14286,7925,7365,6148,7739,4639,14643
Uzbekistan,199,305,247,694,1546,1950,1816,2355,2520,2976,4268,2616,2023,1279,1443,1566,783,821,1047,998,1072,1515,1469,1007,783,655,1730
